,f,f_h,g,g_h
Minnen 2018 Hyperprior,187583.09814453125,13451.640625,187584.84814453125,30354.6875
2-layer syn. (proposed),510845.5,13451.640625,10680.001190185547,30354.6875
Minnen 2020 CHARM,187583.09814453125,11808.0625,187584.84814453125,513014.8750406901
He 2022 ELIC,510845.5,13451.640625,510847.25,253130.9375
JPEG-like syn. (proposed),510845.5,13451.640625,2433.0,30354.6875
2-layer syn. + SGA (proposed),510845.5,13451.640625,10680.001190185547,30354.6875
Ballé 2017 Factorized Prior,163264.25,0.0,163266.0,0.0
Wang 2023 EVC,526501.2254901961,3724.341299019608,515883.5018382354,69642.31004901961
