,f,g,f_h,g_h,f_tot,g_tot
Ballé 2017 Factorized Prior,163264.25,163266.0,,,,
Minnen 2018 Hyperprior,187583.09814453125,187584.84814453125,13451.640625,30354.6875,201034.73876953125,217939.53564453125
2-layer syn. (proposed),510563.75,10677.001190185547,13451.640625,30354.6875,524015.390625,41031.68869018555
He 2022 ELIC,510563.75,510565.5,13451.640625,253130.9375,524015.390625,763696.4375
JPEG-like syn. (proposed),510563.75,2433.0,13451.640625,30354.6875,524015.390625,32787.6875
2-layer syn. + SGA (proposed),510563.75,10677.001190185547,13451.640625,30354.6875,524015.390625,41031.68869018555
Wang 2023 EVC,526501.2254901961,515883.5018382354,3724.341299019608,69642.31004901961,530225.5667892158,585525.811887255
